filename,measured_area_cm2
171,199.382
173,564.88
174,1292.67
176,740.657
177,2741.262
178,1758.409
179,116.032
182,628.632
183,2071.694
184,610.979
185,451.077
186,454.18
187,822.447
188,80.963
189,189.147
190,85.048
191,393.302
192,102.84
193,119.861
194,160.903
195,137.441
196,99.781
197,909.545
198,359.273
199,259.328
200,48.021
201,171.298
202,256.167
203,134.37
206,62.55
207,189.316
208,103.037
209,39.449
210,414.469
211,35.277
213,169.551
215,84.41
216,114.883
217,201.93
218,17.824
219,10.88
220,490.149
221,47.325
222,25.773
223,21.075
224,29.485
225,219.78
226,488.371
227,25.113
228,302.376
229,5.27
230,61.921
232,37.423
233,40.507
234,25.607
235,142.987
236,29.12
237,62.38
238,72.236
239,44.196
240,44.971
241,84.351
