file,flower,distance_camera_to_ground_cm,measured_area_cm2,predicted_distance_based_area_cm2,predicted_referenbase_based_area_cm2
PXL_20240214_175352365_100cm_F21_.jpg,F21,100,19.6967348,20.29670634,18.23900941
PXL_20240214_175033319_60cm_F18_.jpg,F18,60,35.9870248,19.5377583,25.09623752
PXL_20240214_173904525_100cm_F13_.jpg,F13,100,98.9804472,102.6263889,96.59829885
PXL_20240214_173731980_100cm_F12_.jpg,F12,100,2.8838652,22.56365543,21.89022288
PXL_20240214_174053319_60cm_F13_.jpg,F13,60,231.61244,132.9283024,163.5790527
PXL_20240214_175016038_100cm_F18_.jpg,F18,100,27.3483324,27.19634879,26.55465448
PXL_20240214_174857541_100cm_F17_.jpg,F17,100,12.4451364,13.68503771,13.17449573
PXL_20240214_172902391_100cm_F7_.jpg,F7,100,83.5998328,85.33463749,74.76045336
PXL_20240214_171637048_100cm_F1_.jpg,F1,100,33.5934812,46.19899043,44.88788363
PXL_20240214_172812015_60cm_F7_.jpg,F7,60,119.967502,81.15919764,116.6204795
PXL_20240214_172005738_100cm_F3_.jpg,F3,100,9.8773996,29.19952002,9.602370377
PXL_20240214_175600353_100cm_F22_.jpg,F22,100,18.6902852,19.02239994,17.6198556
PXL_20240214_174424831_90cm_F14_.jpg,F14,90,210.2769988,279.0554868,246.232245
PXL_20240214_174325426_100cm_F14_.jpg,F14,100,191.644778,202.8370015,185.0293119
PXL_20240214_171937537_100cm_F3_.jpg,F3,100,6.903212,6.589820898,6.31523489
PXL_20240214_173542045_100cm_F11_.jpg,F11,100,3.0516068,3.822468047,3.260233144
PXL_20240214_174810162_60cm_F16_.jpg,F16,60,71.1998576,57.9135063,73.9693759
PXL_20240214_173058624_100cm_F8_.jpg,F8,100,7.677404,12.68273404,11.97382813
PXL_20240214_173256770_60cm_F9_.jpg,F9,60,64.935354,52.92233788,67.29689085
PXL_20240214_173605233_60cm_F11_.jpg,F11,60,3.1354776,2.30577501,2.770184664
PXL_20240214_173124719_60cm_F8_.jpg,F8,60,8.70966,13.42688164,17.00798747
PXL_20240214_173951011_90cm_F13_.jpg,F13,90,100.5352828,87.40017831,98.85061051
PXL_20240214_175112414_100cm_F19_.jpg,F19,100,28.7031684,27.05050055,21.56342936
PXL_20240214_173235450_100cm_F9_.jpg,F9,100,50.9934464,56.73621765,52.44786179
PXL_20240214_172844073_60cm_F7_.jpg,F7,60,106.8965604,74.49737082,102.0495396
PXL_20240214_172542241_60cm_F6_.jpg,F6,60,78.6514556,74.58655586,76.01695099
PXL_20240214_174540998_90cm_F15_.jpg,F15,90,282.0445972,235.4981637,225.6838638
PXL_20240214_175256173_60cm_F20_.jpg,F20,60,138.483594,91.41354013,114.0926748
PXL_20240214_175233333_100cm_F20_.jpg,F20,100,97.4449664,87.41565476,81.57592289
PXL_20240214_175618723_60cm_F22_.jpg,F22,60,23.9289844,18.30462538,22.08904747
PXL_20240214_173410846_100cm_F10_.jpg,F10,100,16.3999672,15.5006892,15.09813661
PXL_20240214_172351335_100cm_F5_.jpg,F5,100,16.7870632,14.38381126,14.1516656
PXL_20240214_171724834_60cm_F1_.jpg,F1,60,49.1999016,34.24674399,43.91988205
PXL_20240214_175447286_60cm_F21_.jpg,F21,60,21.77415,18.23744348,24.37249257
PXL_20240214_175542573_100cm_F22_.jpg,F22,100,23.419308,22.42544663,19.96215505
PXL_20240214_172835282_60cm_F7_.jpg,F7,60,113.3804184,81.62785883,109.6581187
PXL_20240214_173800905_60cm_F12_.jpg,F12,60,5.5225696,20.06289535,27.44556726
PXL_20240214_175143253_60cm_F19_.jpg,F19,60,34.9096076,30.23716136,35.38919889
PXL_20240214_174916372_60cm_F17_.jpg,F17,60,17.7031904,7.360839782,9.837825133
PXL_20240214_173433388_60cm_F10_.jpg,F10,60,24.6386604,14.21033897,18.24794417
PXL_20240214_172404427_60cm_F5_.jpg,F5,60,25.1870464,13.65054841,16.23153581
PXL_20240214_172735080_100cm_F7_.jpg,F7,100,89.5224016,78.72292829,82.47499882
PXL_20240214_173607901_60cm_F11_.jpg,F11,60,3.5354768,2.716833841,3.450452039
PXL_20240214_174741393_100cm_F16_.jpg,F16,100,54.6063424,57.30003689,55.91096371
PXL_20240214_172516412_100cm_F6_.jpg,F6,100,41.9354,40.39277076,36.67087403
